fare_id,rider_category_id,price,expiration_date,commencement_date
382782,5,3.55,,
382783,5,2.00,,
382784,5,4.75,,
382785,5,2.00,,
382786,5,4.10,,
382787,5,3.30,,
382788,5,3.15,,
382789,5,3.05,,
382790,5,2.95,,
382791,5,2.90,,
382792,5,2.85,,
382793,5,2.75,,
382794,5,2.70,,
382795,5,2.70,,
382796,5,2.70,,
382797,5,2.90,,
382798,5,3.00,,
382799,5,3.15,,
382800,5,3.30,,
382801,5,3.50,,
382802,5,3.70,,
382803,5,4.00,,
382804,5,4.20,,
382805,5,3.50,,
382806,5,4.20,,
382807,5,4.45,,
382808,5,4.10,,
382809,5,2.00,,
382810,5,4.00,,
382811,5,3.75,,
382812,5,3.65,,
382813,5,3.40,,
382814,5,3.20,,
382815,5,2.85,,
382816,5,2.65,,
382817,5,2.40,,
382818,5,2.40,,
382819,5,2.40,,
382820,5,2.40,,
382821,5,2.30,,
382822,5,2.25,,
382823,5,2.10,,
382824,5,2.00,,
382825,5,2.00,,
382826,5,6.75,,
382827,5,4.45,,
382828,5,4.90,,
382829,5,5.05,,
382830,5,4.55,,
382831,5,4.95,,
382832,5,2.00,,
382833,5,3.55,,
382834,5,4.75,,
382835,5,2.00,,
382836,5,4.25,,
382837,5,3.45,,
382838,5,3.30,,
382839,5,3.20,,
382840,5,3.10,,
382841,5,3.05,,
382842,5,3.00,,
382843,5,2.90,,
382844,5,2.85,,
382845,5,2.85,,
382846,5,2.85,,
382847,5,3.05,,
382848,5,3.15,,
382849,5,3.35,,
382850,5,3.50,,
382851,5,3.65,,
382852,5,3.85,,
382853,5,4.15,,
382854,5,4.35,,
382855,5,3.65,,
382856,5,4.35,,
382857,5,4.60,,
382858,5,4.30,,
382859,5,2.00,,
382860,5,4.15,,
382861,5,3.90,,
382862,5,3.80,,
382863,5,3.60,,
382864,5,3.35,,
382865,5,3.00,,
382866,5,2.80,,
382867,5,2.65,,
382868,5,2.65,,
382869,5,2.65,,
382870,5,2.65,,
382871,5,2.55,,
382872,5,2.50,,
382873,5,2.35,,
382874,5,2.25,,
382875,5,2.00,,
382876,5,6.90,,
382877,5,4.60,,
382878,5,5.05,,
382879,5,5.20,,
382880,5,4.70,,
382881,5,5.10,,
382882,5,4.75,,
382883,5,4.75,,
382884,5,3.55,,
382885,5,2.75,,
382886,5,7.10,,
382887,5,6.30,,
382888,5,6.20,,
382889,5,6.10,,
382890,5,5.95,,
382891,5,5.95,,
382892,5,5.85,,
382893,5,5.80,,
382894,5,5.75,,
382895,5,5.75,,
382896,5,5.75,,
382897,5,5.90,,
382898,5,6.05,,
382899,5,6.20,,
382900,5,6.35,,
382901,5,6.55,,
382902,5,6.70,,
382903,5,7.00,,
382904,5,7.25,,
382905,5,6.55,,
382906,5,7.20,,
382907,5,7.45,,
382908,5,7.15,,
382909,5,4.95,,
382910,5,7.05,,
382911,5,6.75,,
382912,5,6.70,,
382913,5,6.45,,
382914,5,6.20,,
382915,5,5.90,,
382916,5,5.70,,
382917,5,5.55,,
382918,5,5.55,,
382919,5,5.55,,
382920,5,5.55,,
382921,5,5.50,,
382922,5,5.45,,
382923,5,5.30,,
382924,5,5.20,,
382925,5,5.05,,
382926,5,9.75,,
382927,5,7.50,,
382928,5,7.95,,
382929,5,8.10,,
382930,5,7.55,,
382931,5,7.95,,
382932,5,2.00,,
382933,5,2.00,,
382934,5,2.75,,
382935,5,3.55,,
382936,5,4.45,,
382937,5,3.65,,
382938,5,3.50,,
382939,5,3.40,,
382940,5,3.30,,
382941,5,3.25,,
382942,5,3.20,,
382943,5,3.15,,
382944,5,3.05,,
382945,5,3.05,,
382946,5,3.05,,
382947,5,3.25,,
382948,5,3.35,,
382949,5,3.55,,
382950,5,3.70,,
382951,5,3.85,,
382952,5,4.05,,
382953,5,4.35,,
382954,5,4.55,,
382955,5,3.85,,
382956,5,4.55,,
382957,5,4.80,,
382958,5,4.50,,
382959,5,2.30,,
382960,5,4.35,,
382961,5,4.10,,
382962,5,4.00,,
382963,5,3.80,,
382964,5,3.55,,
382965,5,3.20,,
382966,5,3.00,,
382967,5,2.90,,
382968,5,2.90,,
382969,5,2.90,,
382970,5,2.90,,
382971,5,2.85,,
382972,5,2.80,,
382973,5,2.65,,
382974,5,2.55,,
382975,5,2.45,,
382976,5,7.10,,
382977,5,4.80,,
382978,5,5.25,,
382979,5,5.40,,
382980,5,4.90,,
382981,5,5.30,,
382982,5,4.10,,
382983,5,4.25,,
382984,5,7.10,,
382985,5,4.45,,
382986,5,3.55,,
382987,5,3.20,,
382988,5,3.05,,
382989,5,2.95,,
382990,5,2.85,,
382991,5,2.80,,
382992,5,2.75,,
382993,5,2.65,,
382994,5,2.60,,
382995,5,2.60,,
382996,5,2.60,,
382997,5,2.45,,
382998,5,2.35,,
382999,5,2.15,,
383000,5,1.20,,
383001,5,2.20,,
383002,5,2.35,,
383003,5,2.65,,
383004,5,2.90,,
383005,5,1.20,,
383006,5,1.20,,
383007,5,4.25,,
383008,5,3.90,,
383009,5,3.95,,
383010,5,3.80,,
383011,5,3.55,,
383012,5,3.45,,
383013,5,3.25,,
383014,5,3.00,,
383015,5,2.65,,
383016,5,2.70,,
383017,5,3.70,,
383018,5,3.70,,
383019,5,3.70,,
383020,5,3.70,,
383021,5,3.75,,
383022,5,3.75,,
383023,5,3.85,,
383024,5,3.90,,
383025,5,4.00,,
383026,5,6.05,,
383027,5,3.15,,
383028,5,3.60,,
383029,5,3.75,,
383030,5,4.35,,
383031,5,4.75,,
383032,5,3.30,,
383033,5,3.45,,
383034,5,6.30,,
383035,5,3.65,,
383036,5,3.20,,
383037,5,3.55,,
383038,5,1.20,,
383039,5,1.20,,
383040,5,1.20,,
383041,5,1.20,,
383042,5,1.20,,
383043,5,1.65,,
383044,5,1.75,,
383045,5,1.75,,
383046,5,1.75,,
383047,5,1.95,,
383048,5,2.10,,
383049,5,2.30,,
383050,5,2.45,,
383051,5,2.60,,
383052,5,2.80,,
383053,5,3.10,,
383054,5,3.30,,
383055,5,2.60,,
383056,5,3.30,,
383057,5,3.30,,
383058,5,3.00,,
383059,5,3.15,,
383060,5,2.90,,
383061,5,2.65,,
383062,5,2.55,,
383063,5,2.30,,
383064,5,2.05,,
383065,5,1.65,,
383066,5,1.85,,
383067,5,2.90,,
383068,5,2.90,,
383069,5,2.90,,
383070,5,2.90,,
383071,5,2.95,,
383072,5,2.95,,
383073,5,3.05,,
383074,5,3.10,,
383075,5,3.20,,
383076,5,5.85,,
383077,5,3.55,,
383078,5,4.00,,
383079,5,4.15,,
383080,5,3.40,,
383081,5,3.80,,
383082,5,3.15,,
383083,5,3.30,,
383084,5,6.20,,
383085,5,3.50,,
383086,5,3.05,,
383087,5,1.20,,
383088,5,3.55,,
383089,5,1.20,,
383090,5,1.20,,
383091,5,1.20,,
383092,5,1.20,,
383093,5,1.45,,
383094,5,1.55,,
383095,5,1.55,,
383096,5,1.55,,
383097,5,1.85,,
383098,5,1.95,,
383099,5,2.15,,
383100,5,2.30,,
383101,5,2.50,,
383102,5,2.65,,
383103,5,2.95,,
383104,5,3.20,,
383105,5,2.45,,
383106,5,3.15,,
383107,5,3.20,,
383108,5,2.90,,
383109,5,3.05,,
383110,5,2.75,,
383111,5,2.50,,
383112,5,2.40,,
383113,5,2.20,,
383114,5,1.95,,
383115,5,1.45,,
383116,5,1.65,,
383117,5,2.75,,
383118,5,2.75,,
383119,5,2.75,,
383120,5,2.75,,
383121,5,2.80,,
383122,5,2.85,,
383123,5,2.90,,
383124,5,2.95,,
383125,5,3.05,,
383126,5,5.70,,
383127,5,3.45,,
383128,5,3.90,,
383129,5,4.05,,
383130,5,3.30,,
383131,5,3.70,,
383132,5,3.05,,
383133,5,3.20,,
383134,5,6.10,,
383135,5,3.40,,
383136,5,2.95,,
383137,5,1.20,,
383138,5,1.20,,
383139,5,3.55,,
383140,5,1.20,,
383141,5,1.20,,
383142,5,1.20,,
383143,5,1.25,,
383144,5,1.40,,
383145,5,1.40,,
383146,5,1.40,,
383147,5,1.70,,
383148,5,1.85,,
383149,5,2.05,,
383150,5,2.20,,
383151,5,2.40,,
383152,5,2.55,,
383153,5,2.85,,
383154,5,3.05,,
383155,5,2.35,,
383156,5,3.05,,
383157,5,3.10,,
383158,5,2.80,,
383159,5,2.95,,
383160,5,2.65,,
383161,5,2.40,,
383162,5,2.30,,
383163,5,2.10,,
383164,5,1.80,,
383165,5,1.30,,
383166,5,1.50,,
383167,5,2.65,,
383168,5,2.65,,
383169,5,2.65,,
383170,5,2.65,,
383171,5,2.70,,
383172,5,2.75,,
383173,5,2.85,,
383174,5,2.85,,
383175,5,2.95,,
383176,5,5.60,,
383177,5,3.35,,
383178,5,3.80,,
383179,5,3.95,,
383180,5,3.20,,
383181,5,3.60,,
383182,5,2.95,,
383183,5,3.10,,
383184,5,5.95,,
383185,5,3.30,,
383186,5,2.85,,
383187,5,1.20,,
383188,5,1.20,,
383189,5,1.20,,
383190,5,3.55,,
383191,5,1.20,,
383192,5,1.20,,
383193,5,1.20,,
383194,5,1.20,,
383195,5,1.20,,
383196,5,1.20,,
383197,5,1.50,,
383198,5,1.70,,
383199,5,1.95,,
383200,5,2.10,,
383201,5,2.25,,
383202,5,2.45,,
383203,5,2.75,,
383204,5,2.95,,
383205,5,2.25,,
383206,5,2.95,,
383207,5,3.00,,
383208,5,2.65,,
383209,5,2.80,,
383210,5,2.55,,
383211,5,2.30,,
383212,5,2.20,,
383213,5,1.95,,
383214,5,1.60,,
383215,5,1.20,,
383216,5,1.30,,
383217,5,2.55,,
383218,5,2.55,,
383219,5,2.55,,
383220,5,2.55,,
383221,5,2.60,,
383222,5,2.60,,
383223,5,2.70,,
383224,5,2.75,,
383225,5,2.85,,
383226,5,5.40,,
383227,5,3.20,,
383228,5,3.65,,
383229,5,3.80,,
383230,5,3.10,,
383231,5,3.45,,
383232,5,2.90,,
383233,5,3.05,,
383234,5,5.95,,
383235,5,3.25,,
383236,5,2.80,,
383237,5,1.20,,
383238,5,1.20,,
383239,5,1.20,,
383240,5,1.20,,
383241,5,3.55,,
383242,5,1.20,,
383243,5,1.20,,
383244,5,1.20,,
383245,5,1.20,,
383246,5,1.20,,
383247,5,1.40,,
383248,5,1.60,,
383249,5,1.90,,
383250,5,2.05,,
383251,5,2.20,,
383252,5,2.40,,
383253,5,2.70,,
383254,5,2.90,,
383255,5,2.25,,
383256,5,2.90,,
383257,5,2.95,,
383258,5,2.65,,
383259,5,2.80,,
383260,5,2.50,,
383261,5,2.25,,
383262,5,2.15,,
383263,5,1.90,,
383264,5,1.55,,
383265,5,1.20,,
383266,5,1.25,,
383267,5,2.50,,
383268,5,2.50,,
383269,5,2.50,,
383270,5,2.50,,
383271,5,2.55,,
383272,5,2.60,,
383273,5,2.65,,
383274,5,2.70,,
383275,5,2.80,,
383276,5,5.35,,
383277,5,3.20,,
383278,5,3.65,,
