fare_id,route_id,origin_id,destination_id,contains_id
384007,,76993,76984,
384008,,76993,76983,
384009,,76993,77013,
384010,,76993,76982,
384011,,76993,76981,
384012,,76993,76980,
384013,,76993,76979,
384014,,76993,76978,
384015,,76993,76977,
384016,,76993,76994,
384017,,76993,76995,
384018,,76993,76996,
384019,,76993,76997,
384020,,76993,76998,
384021,,76993,76999,
384022,,76993,77000,
384023,,76993,77001,
384024,,76993,77002,
384025,,76993,77003,
384026,,76993,76987,
384027,,76993,77010,
384028,,76993,77011,
384029,,76993,77012,
384030,,76993,76985,
384031,,76993,76986,
384032,,76984,77014,
384033,,76984,77015,
384034,,76984,77017,
384035,,76984,77016,
384036,,76984,76992,
384037,,76984,77009,
384038,,76984,77008,
384039,,76984,77007,
384040,,76984,77006,
384041,,76984,77005,
384042,,76984,77004,
384043,,76984,76990,
384044,,76984,76989,
384045,,76984,76988,
384046,,76984,76968,
384047,,76984,76969,
384048,,76984,76970,
384049,,76984,76971,
384050,,76984,76972,
384051,,76984,76973,
384052,,76984,76974,
384053,,76984,76975,
384054,,76984,76976,
384055,,76984,76991,
384056,,76984,76993,
384057,,76984,76984,
384058,,76984,76983,
384059,,76984,77013,
384060,,76984,76982,
384061,,76984,76981,
384062,,76984,76980,
384063,,76984,76979,
384064,,76984,76978,
384065,,76984,76977,
384066,,76984,76994,
384067,,76984,76995,
384068,,76984,76996,
384069,,76984,76997,
384070,,76984,76998,
384071,,76984,76999,
384072,,76984,77000,
384073,,76984,77001,
384074,,76984,77002,
384075,,76984,77003,
384076,,76984,76987,
384077,,76984,77010,
384078,,76984,77011,
384079,,76984,77012,
384080,,76984,76985,
384081,,76984,76986,
384082,,76983,77014,
384083,,76983,77015,
384084,,76983,77017,
384085,,76983,77016,
384086,,76983,76992,
384087,,76983,77009,
384088,,76983,77008,
384089,,76983,77007,
384090,,76983,77006,
384091,,76983,77005,
384092,,76983,77004,
384093,,76983,76990,
384094,,76983,76989,
384095,,76983,76988,
384096,,76983,76968,
384097,,76983,76969,
384098,,76983,76970,
384099,,76983,76971,
384100,,76983,76972,
384101,,76983,76973,
384102,,76983,76974,
384103,,76983,76975,
384104,,76983,76976,
384105,,76983,76991,
384106,,76983,76993,
384107,,76983,76984,
384108,,76983,76983,
384109,,76983,77013,
384110,,76983,76982,
384111,,76983,76981,
384112,,76983,76980,
384113,,76983,76979,
384114,,76983,76978,
384115,,76983,76977,
384116,,76983,76994,
384117,,76983,76995,
384118,,76983,76996,
384119,,76983,76997,
384120,,76983,76998,
384121,,76983,76999,
384122,,76983,77000,
384123,,76983,77001,
384124,,76983,77002,
384125,,76983,77003,
384126,,76983,76987,
384127,,76983,77010,
384128,,76983,77011,
384129,,76983,77012,
384130,,76983,76985,
384131,,76983,76986,
384132,,77013,77014,
384133,,77013,77015,
384134,,77013,77017,
384135,,77013,77016,
384136,,77013,76992,
384137,,77013,77009,
384138,,77013,77008,
384139,,77013,77007,
384140,,77013,77006,
384141,,77013,77005,
384142,,77013,77004,
384143,,77013,76990,
384144,,77013,76989,
384145,,77013,76988,
384146,,77013,76968,
384147,,77013,76969,
384148,,77013,76970,
384149,,77013,76971,
384150,,77013,76972,
384151,,77013,76973,
384152,,77013,76974,
384153,,77013,76975,
384154,,77013,76976,
384155,,77013,76991,
384156,,77013,76993,
384157,,77013,76984,
384158,,77013,76983,
384159,,77013,77013,
384160,,77013,76982,
384161,,77013,76981,
384162,,77013,76980,
384163,,77013,76979,
384164,,77013,76978,
384165,,77013,76977,
384166,,77013,76994,
384167,,77013,76995,
384168,,77013,76996,
384169,,77013,76997,
384170,,77013,76998,
384171,,77013,76999,
384172,,77013,77000,
384173,,77013,77001,
384174,,77013,77002,
384175,,77013,77003,
384176,,77013,76987,
384177,,77013,77010,
384178,,77013,77011,
