route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Orange-N,72953,1682498,Richmond,0,,003A_shp,,0,0
Orange-N,72954,1674535,Richmond,0,,003A_shp,,0,0
Orange-N,72955,1677594,Richmond,0,,003A_shp,,0,0
Orange-N,72953,1682502,Richmond,0,,003B_shp,,0,0
Orange-N,72954,1674536,Richmond,0,,003B_shp,,0,0
Orange-N,72955,1677595,Richmond,0,,003B_shp,,0,0
Orange-N,72953,1682443,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682444,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682445,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682446,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674537,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682447,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674538,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682448,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674539,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682449,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674540,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682450,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674541,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674542,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682451,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682452,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674543,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677596,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682453,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674544,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677597,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682454,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674545,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677598,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677599,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674546,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682455,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674547,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682456,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677600,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677601,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674548,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682457,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677602,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682458,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674549,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677603,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682459,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674550,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677604,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682460,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674551,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682461,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677605,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674552,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677606,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674553,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682462,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674554,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677607,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682463,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677608,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682464,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674555,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674556,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677609,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682465,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677610,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674557,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682466,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682467,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677611,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674558,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677612,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674559,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682468,Richmond,0,,003C_shp,,0,0
