fare_id,price,currency_type,payment_method,transfers,transfer_duration
383206,5.90,USD,1,,
383207,6.00,USD,1,,
383208,5.35,USD,1,,
383209,5.65,USD,1,,
383210,5.10,USD,1,,
383211,4.60,USD,1,,
383212,4.40,USD,1,,
383213,3.95,USD,1,,
383214,3.25,USD,1,,
383215,2.40,USD,1,,
383216,2.65,USD,1,,
383217,5.10,USD,1,,
383218,5.10,USD,1,,
383219,5.10,USD,1,,
383220,5.10,USD,1,,
383221,5.20,USD,1,,
383222,5.25,USD,1,,
383223,5.45,USD,1,,
383224,5.50,USD,1,,
383225,5.70,USD,1,,
383226,10.85,USD,1,,
383227,6.45,USD,1,,
383228,7.35,USD,1,,
383229,7.65,USD,1,,
383230,6.20,USD,1,,
383231,6.95,USD,1,,
383232,5.80,USD,1,,
383233,6.15,USD,1,,
383234,11.90,USD,1,,
383235,6.55,USD,1,,
383236,5.65,USD,1,,
383237,2.40,USD,1,,
383238,2.40,USD,1,,
383239,2.40,USD,1,,
383240,2.40,USD,1,,
383241,7.10,USD,1,,
383242,2.40,USD,1,,
383243,2.40,USD,1,,
383244,2.40,USD,1,,
383245,2.40,USD,1,,
383246,2.40,USD,1,,
383247,2.85,USD,1,,
383248,3.20,USD,1,,
383249,3.80,USD,1,,
383250,4.15,USD,1,,
383251,4.45,USD,1,,
383252,4.85,USD,1,,
383253,5.45,USD,1,,
383254,5.85,USD,1,,
383255,4.50,USD,1,,
383256,5.85,USD,1,,
383257,5.90,USD,1,,
383258,5.30,USD,1,,
383259,5.60,USD,1,,
383260,5.05,USD,1,,
383261,4.50,USD,1,,
383262,4.35,USD,1,,
383263,3.85,USD,1,,
383264,3.10,USD,1,,
383265,2.40,USD,1,,
383266,2.50,USD,1,,
383267,5.00,USD,1,,
383268,5.00,USD,1,,
383269,5.00,USD,1,,
383270,5.00,USD,1,,
383271,5.15,USD,1,,
383272,5.20,USD,1,,
383273,5.35,USD,1,,
383274,5.45,USD,1,,
383275,5.60,USD,1,,
383276,10.70,USD,1,,
383277,6.40,USD,1,,
383278,7.30,USD,1,,
383279,7.60,USD,1,,
383280,6.10,USD,1,,
383281,6.90,USD,1,,
383282,5.70,USD,1,,
383283,6.00,USD,1,,
383284,11.75,USD,1,,
383285,6.45,USD,1,,
383286,5.55,USD,1,,
383287,2.40,USD,1,,
383288,2.40,USD,1,,
383289,2.40,USD,1,,
383290,2.40,USD,1,,
383291,2.40,USD,1,,
383292,7.10,USD,1,,
383293,2.40,USD,1,,
383294,2.40,USD,1,,
383295,2.40,USD,1,,
383296,2.40,USD,1,,
383297,2.65,USD,1,,
383298,3.05,USD,1,,
383299,3.60,USD,1,,
383300,4.00,USD,1,,
383301,4.35,USD,1,,
383302,4.75,USD,1,,
383303,5.35,USD,1,,
383304,5.75,USD,1,,
383305,4.35,USD,1,,
383306,5.75,USD,1,,
383307,5.85,USD,1,,
383308,5.25,USD,1,,
383309,5.45,USD,1,,
383310,5.00,USD,1,,
383311,4.50,USD,1,,
383312,4.25,USD,1,,
383313,3.65,USD,1,,
383314,2.90,USD,1,,
383315,2.40,USD,1,,
383316,2.40,USD,1,,
383317,4.80,USD,1,,
383318,4.80,USD,1,,
383319,4.80,USD,1,,
383320,4.80,USD,1,,
383321,5.00,USD,1,,
383322,5.05,USD,1,,
383323,5.25,USD,1,,
383324,5.35,USD,1,,
383325,5.50,USD,1,,
383326,10.50,USD,1,,
383327,6.30,USD,1,,
383328,7.20,USD,1,,
383329,7.50,USD,1,,
383330,6.05,USD,1,,
383331,6.85,USD,1,,
383332,5.55,USD,1,,
383333,5.85,USD,1,,
383334,11.60,USD,1,,
383335,6.30,USD,1,,
383336,5.35,USD,1,,
383337,3.35,USD,1,,
383338,2.90,USD,1,,
383339,2.55,USD,1,,
383340,2.40,USD,1,,
383341,2.40,USD,1,,
383342,2.40,USD,1,,
383343,7.10,USD,1,,
383344,2.40,USD,1,,
383345,2.40,USD,1,,
383346,2.40,USD,1,,
383347,2.40,USD,1,,
383348,2.75,USD,1,,
383349,3.35,USD,1,,
383350,3.80,USD,1,,
383351,4.20,USD,1,,
383352,4.55,USD,1,,
383353,5.20,USD,1,,
383354,5.60,USD,1,,
383355,4.20,USD,1,,
383356,5.60,USD,1,,
383357,5.85,USD,1,,
383358,5.25,USD,1,,
383359,5.30,USD,1,,
383360,5.00,USD,1,,
383361,4.50,USD,1,,
383362,4.25,USD,1,,
383363,3.55,USD,1,,
383364,2.40,USD,1,,
383365,2.40,USD,1,,
383366,2.40,USD,1,,
383367,4.50,USD,1,,
383368,4.50,USD,1,,
383369,4.50,USD,1,,
383370,4.50,USD,1,,
383371,4.75,USD,1,,
383372,4.85,USD,1,,
383373,5.10,USD,1,,
383374,5.20,USD,1,,
383375,5.35,USD,1,,
383376,10.25,USD,1,,
383377,6.15,USD,1,,
383378,7.05,USD,1,,
383379,7.35,USD,1,,
383380,6.05,USD,1,,
383381,6.85,USD,1,,
383382,5.45,USD,1,,
383383,5.75,USD,1,,
383384,11.50,USD,1,,
383385,6.15,USD,1,,
383386,5.25,USD,1,,
383387,3.55,USD,1,,
383388,3.15,USD,1,,
383389,2.80,USD,1,,
383390,2.40,USD,1,,
383391,2.40,USD,1,,
383392,2.40,USD,1,,
383393,2.40,USD,1,,
383394,7.10,USD,1,,
383395,2.40,USD,1,,
383396,2.40,USD,1,,
383397,2.40,USD,1,,
383398,2.40,USD,1,,
383399,3.10,USD,1,,
383400,3.55,USD,1,,
383401,4.10,USD,1,,
383402,4.45,USD,1,,
383403,5.05,USD,1,,
383404,5.50,USD,1,,
383405,4.10,USD,1,,
383406,5.45,USD,1,,
383407,5.90,USD,1,,
383408,5.25,USD,1,,
383409,5.20,USD,1,,
383410,5.00,USD,1,,
383411,4.50,USD,1,,
383412,4.35,USD,1,,
383413,3.75,USD,1,,
383414,3.00,USD,1,,
383415,2.40,USD,1,,
383416,2.40,USD,1,,
383417,4.25,USD,1,,
383418,4.25,USD,1,,
383419,4.25,USD,1,,
383420,4.25,USD,1,,
383421,4.50,USD,1,,
383422,4.60,USD,1,,
383423,4.90,USD,1,,
383424,5.10,USD,1,,
383425,5.25,USD,1,,
383426,9.90,USD,1,,
383427,6.05,USD,1,,
383428,6.90,USD,1,,
383429,7.25,USD,1,,
383430,6.10,USD,1,,
383431,6.90,USD,1,,
383432,5.45,USD,1,,
383433,5.75,USD,1,,
383434,11.50,USD,1,,
383435,6.15,USD,1,,
383436,5.25,USD,1,,
383437,3.55,USD,1,,
383438,3.15,USD,1,,
383439,2.80,USD,1,,
383440,2.40,USD,1,,
383441,2.40,USD,1,,
383442,2.40,USD,1,,
383443,2.40,USD,1,,
383444,2.40,USD,1,,
383445,7.10,USD,1,,
383446,2.40,USD,1,,
383447,2.40,USD,1,,
383448,2.40,USD,1,,
383449,3.10,USD,1,,
383450,3.55,USD,1,,
383451,4.10,USD,1,,
383452,4.45,USD,1,,
383453,5.05,USD,1,,
383454,5.50,USD,1,,
383455,4.10,USD,1,,
383456,5.45,USD,1,,
383457,5.90,USD,1,,
383458,5.25,USD,1,,
383459,5.20,USD,1,,
383460,5.00,USD,1,,
383461,4.50,USD,1,,
383462,4.35,USD,1,,
383463,3.75,USD,1,,
383464,3.00,USD,1,,
383465,2.40,USD,1,,
383466,2.40,USD,1,,
383467,4.25,USD,1,,
383468,4.25,USD,1,,
383469,4.25,USD,1,,
383470,4.25,USD,1,,
383471,4.50,USD,1,,
383472,4.60,USD,1,,
383473,4.90,USD,1,,
383474,5.10,USD,1,,
383475,5.25,USD,1,,
383476,9.90,USD,1,,
383477,6.05,USD,1,,
383478,6.90,USD,1,,
383479,7.25,USD,1,,
383480,6.10,USD,1,,
383481,6.90,USD,1,,
383482,5.45,USD,1,,
383483,5.75,USD,1,,
383484,11.50,USD,1,,
383485,6.15,USD,1,,
383486,5.25,USD,1,,
383487,3.55,USD,1,,
383488,3.15,USD,1,,
383489,2.80,USD,1,,
383490,2.40,USD,1,,
383491,2.40,USD,1,,
383492,2.40,USD,1,,
383493,2.40,USD,1,,
383494,2.40,USD,1,,
383495,2.40,USD,1,,
383496,7.10,USD,1,,
383497,2.40,USD,1,,
383498,2.40,USD,1,,
383499,3.10,USD,1,,
383500,3.55,USD,1,,
383501,4.10,USD,1,,
383502,4.45,USD,1,,
383503,5.05,USD,1,,
383504,5.50,USD,1,,
383505,4.10,USD,1,,
383506,5.45,USD,1,,
383507,5.90,USD,1,,
383508,5.25,USD,1,,
383509,5.20,USD,1,,
383510,5.00,USD,1,,
383511,4.50,USD,1,,
383512,4.35,USD,1,,
383513,3.75,USD,1,,
383514,3.00,USD,1,,
383515,2.40,USD,1,,
383516,2.40,USD,1,,
383517,4.25,USD,1,,
383518,4.25,USD,1,,
383519,4.25,USD,1,,
383520,4.25,USD,1,,
383521,4.50,USD,1,,
383522,4.60,USD,1,,
383523,4.90,USD,1,,
383524,5.10,USD,1,,
383525,5.25,USD,1,,
383526,9.90,USD,1,,
383527,6.05,USD,1,,
