trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1682498,4:44:00,4:44:00,SHAY,0,,0,0,,1
1682498,4:48:00,4:48:00,HAYW,1,,0,0,,1
1682498,4:52:00,4:52:00,BAYF,2,,0,0,,1
1682498,4:55:00,4:56:00,SANL,3,,0,0,,1
1682498,5:00:00,5:00:00,COLS,4,Richmond,0,0,,1
1682498,5:03:00,5:03:00,FTVL,5,Richmond,0,0,,1
1682498,5:08:00,5:08:00,LAKE,6,Richmond,0,0,,1
1682498,5:10:00,5:11:00,12TH,7,Richmond,0,0,,1
1682498,5:12:00,5:13:00,19TH,8,Richmond,0,0,,1
1682498,5:16:00,5:17:00,MCAR,9,Richmond,0,0,,1
1682498,5:19:00,5:20:00,ASHB,10,Richmond,0,0,,1
1682498,5:22:00,5:22:00,DBRK,11,Richmond,0,0,,1
1682498,5:24:00,5:24:00,NBRK,12,Richmond,0,0,,1
1682498,5:27:00,5:28:00,PLZA,13,Richmond,0,0,,1
1682498,5:30:00,5:31:00,DELN,14,Richmond,0,0,,1
1682498,5:35:00,5:38:00,RICH,15,Richmond,0,0,,1
1674535,5:44:00,5:44:00,SHAY,0,,0,0,,1
1674535,5:48:00,5:48:00,HAYW,1,,0,0,,1
1674535,5:52:00,5:52:00,BAYF,2,,0,0,,1
1674535,5:55:00,5:56:00,SANL,3,,0,0,,1
1674535,6:00:00,6:00:00,COLS,4,Richmond,0,0,,1
1674535,6:03:00,6:03:00,FTVL,5,Richmond,0,0,,1
1674535,6:08:00,6:08:00,LAKE,6,Richmond,0,0,,1
1674535,6:10:00,6:11:00,12TH,7,Richmond,0,0,,1
1674535,6:12:00,6:13:00,19TH,8,Richmond,0,0,,1
1674535,6:16:00,6:17:00,MCAR,9,Richmond,0,0,,1
1674535,6:19:00,6:20:00,ASHB,10,Richmond,0,0,,1
1674535,6:22:00,6:22:00,DBRK,11,Richmond,0,0,,1
1674535,6:24:00,6:24:00,NBRK,12,Richmond,0,0,,1
1674535,6:27:00,6:28:00,PLZA,13,Richmond,0,0,,1
1674535,6:30:00,6:31:00,DELN,14,Richmond,0,0,,1
1674535,6:35:00,6:38:00,RICH,15,Richmond,0,0,,1
1677594,7:44:00,7:44:00,SHAY,0,,0,0,,1
1677594,7:48:00,7:48:00,HAYW,1,,0,0,,1
1677594,7:52:00,7:52:00,BAYF,2,,0,0,,1
1677594,7:55:00,7:56:00,SANL,3,,0,0,,1
1677594,8:00:00,8:00:00,COLS,4,Richmond,0,0,,1
1677594,8:03:00,8:03:00,FTVL,5,Richmond,0,0,,1
1677594,8:08:00,8:08:00,LAKE,6,Richmond,0,0,,1
1677594,8:10:00,8:11:00,12TH,7,Richmond,0,0,,1
1677594,8:12:00,8:13:00,19TH,8,Richmond,0,0,,1
1677594,8:16:00,8:17:00,MCAR,9,Richmond,0,0,,1
1677594,8:19:00,8:20:00,ASHB,10,Richmond,0,0,,1
1677594,8:22:00,8:22:00,DBRK,11,Richmond,0,0,,1
1677594,8:24:00,8:24:00,NBRK,12,Richmond,0,0,,1
1677594,8:27:00,8:28:00,PLZA,13,Richmond,0,0,,1
1677594,8:30:00,8:31:00,DELN,14,Richmond,0,0,,1
1677594,8:35:00,8:38:00,RICH,15,Richmond,0,0,,1
1682502,4:54:00,4:55:00,FRMT,0,,0,0,,1
1682502,4:59:00,4:59:00,UCTY,1,,0,0,,1
1682502,5:04:00,5:04:00,SHAY,3,,0,0,,1
1682502,5:08:00,5:08:00,HAYW,4,,0,0,,1
1682502,5:12:00,5:12:00,BAYF,5,,0,0,,1
1682502,5:15:00,5:16:00,SANL,6,,0,0,,1
1682502,5:20:00,5:20:00,COLS,7,Richmond,0,0,,1
1682502,5:23:00,5:23:00,FTVL,8,Richmond,0,0,,1
1682502,5:28:00,5:28:00,LAKE,9,Richmond,0,0,,1
1682502,5:30:00,5:31:00,12TH,10,Richmond,0,0,,1
1682502,5:32:00,5:33:00,19TH,11,Richmond,0,0,,1
1682502,5:36:00,5:37:00,MCAR,12,Richmond,0,0,,1
1682502,5:39:00,5:40:00,ASHB,13,Richmond,0,0,,1
1682502,5:42:00,5:42:00,DBRK,14,Richmond,0,0,,1
1682502,5:44:00,5:44:00,NBRK,15,Richmond,0,0,,1
1682502,5:47:00,5:48:00,PLZA,16,Richmond,0,0,,1
1682502,5:50:00,5:51:00,DELN,17,Richmond,0,0,,1
1682502,5:55:00,5:58:00,RICH,18,Richmond,0,0,,1
1674536,5:54:00,5:55:00,FRMT,0,,0,0,,1
1674536,5:59:00,5:59:00,UCTY,1,,0,0,,1
1674536,6:04:00,6:04:00,SHAY,3,,0,0,,1
1674536,6:08:00,6:08:00,HAYW,4,,0,0,,1
1674536,6:12:00,6:12:00,BAYF,5,,0,0,,1
1674536,6:15:00,6:16:00,SANL,6,,0,0,,1
1674536,6:20:00,6:20:00,COLS,7,Richmond,0,0,,1
1674536,6:23:00,6:23:00,FTVL,8,Richmond,0,0,,1
1674536,6:28:00,6:28:00,LAKE,9,Richmond,0,0,,1
1674536,6:30:00,6:31:00,12TH,10,Richmond,0,0,,1
1674536,6:32:00,6:33:00,19TH,11,Richmond,0,0,,1
1674536,6:36:00,6:37:00,MCAR,12,Richmond,0,0,,1
1674536,6:39:00,6:40:00,ASHB,13,Richmond,0,0,,1
1674536,6:42:00,6:42:00,DBRK,14,Richmond,0,0,,1
1674536,6:44:00,6:44:00,NBRK,15,Richmond,0,0,,1
1674536,6:47:00,6:48:00,PLZA,16,Richmond,0,0,,1
1674536,6:50:00,6:51:00,DELN,17,Richmond,0,0,,1
1674536,6:55:00,6:58:00,RICH,18,Richmond,0,0,,1
1677595,7:54:00,7:55:00,FRMT,0,,0,0,,1
1677595,7:59:00,7:59:00,UCTY,1,,0,0,,1
1677595,8:04:00,8:04:00,SHAY,3,,0,0,,1
1677595,8:08:00,8:08:00,HAYW,4,,0,0,,1
1677595,8:12:00,8:12:00,BAYF,5,,0,0,,1
1677595,8:15:00,8:16:00,SANL,6,,0,0,,1
1677595,8:20:00,8:20:00,COLS,7,Richmond,0,0,,1
1677595,8:23:00,8:23:00,FTVL,8,Richmond,0,0,,1
1677595,8:28:00,8:28:00,LAKE,9,Richmond,0,0,,1
1677595,8:30:00,8:31:00,12TH,10,Richmond,0,0,,1
1677595,8:32:00,8:33:00,19TH,11,Richmond,0,0,,1
1677595,8:36:00,8:37:00,MCAR,12,Richmond,0,0,,1
1677595,8:39:00,8:40:00,ASHB,13,Richmond,0,0,,1
1677595,8:42:00,8:42:00,DBRK,14,Richmond,0,0,,1
1677595,8:44:00,8:44:00,NBRK,15,Richmond,0,0,,1
1677595,8:47:00,8:48:00,PLZA,16,Richmond,0,0,,1
1677595,8:50:00,8:51:00,DELN,17,Richmond,0,0,,1
1677595,8:55:00,8:58:00,RICH,18,Richmond,0,0,,1
1682443,4:56:00,4:56:00,BERY,0,,0,0,,1
1682443,5:00:00,5:01:00,MLPT,1,,0,0,,1
1682443,5:08:00,5:08:00,WARM,2,,0,0,,1
1682443,5:14:00,5:15:00,FRMT,3,,0,0,,1
1682443,5:19:00,5:19:00,UCTY,4,,0,0,,1
1682443,5:24:00,5:24:00,SHAY,6,,0,0,,1
1682443,5:28:00,5:28:00,HAYW,7,,0,0,,1
1682443,5:32:00,5:32:00,BAYF,8,,0,0,,1
1682443,5:35:00,5:36:00,SANL,9,,0,0,,1
1682443,5:40:00,5:40:00,COLS,10,Richmond,0,0,,1
1682443,5:43:00,5:43:00,FTVL,11,Richmond,0,0,,1
1682443,5:48:00,5:48:00,LAKE,12,Richmond,0,0,,1
1682443,5:50:00,5:51:00,12TH,13,Richmond,0,0,,1
1682443,5:52:00,5:53:00,19TH,14,Richmond,0,0,,1
1682443,5:56:00,5:57:00,MCAR,15,Richmond,0,0,,1
1682443,5:59:00,6:00:00,ASHB,16,Richmond,0,0,,1
1682443,6:02:00,6:02:00,DBRK,17,Richmond,0,0,,1
1682443,6:04:00,6:04:00,NBRK,18,Richmond,0,0,,1
1682443,6:07:00,6:08:00,PLZA,19,Richmond,0,0,,1
1682443,6:10:00,6:11:00,DELN,20,Richmond,0,0,,1
1682443,6:15:00,6:18:00,RICH,21,Richmond,0,0,,1
1682444,5:16:00,5:16:00,BERY,0,,0,0,,1
1682444,5:20:00,5:21:00,MLPT,1,,0,0,,1
1682444,5:28:00,5:28:00,WARM,2,,0,0,,1
1682444,5:34:00,5:35:00,FRMT,3,,0,0,,1
1682444,5:39:00,5:39:00,UCTY,4,,0,0,,1
1682444,5:44:00,5:44:00,SHAY,6,,0,0,,1
1682444,5:48:00,5:48:00,HAYW,7,,0,0,,1
1682444,5:52:00,5:52:00,BAYF,8,,0,0,,1
1682444,5:55:00,5:56:00,SANL,9,,0,0,,1
1682444,6:00:00,6:00:00,COLS,10,Richmond,0,0,,1
1682444,6:03:00,6:03:00,FTVL,11,Richmond,0,0,,1
1682444,6:08:00,6:08:00,LAKE,12,Richmond,0,0,,1
1682444,6:10:00,6:11:00,12TH,13,Richmond,0,0,,1
1682444,6:12:00,6:13:00,19TH,14,Richmond,0,0,,1
1682444,6:16:00,6:17:00,MCAR,15,Richmond,0,0,,1
1682444,6:19:00,6:20:00,ASHB,16,Richmond,0,0,,1
1682444,6:22:00,6:22:00,DBRK,17,Richmond,0,0,,1
1682444,6:24:00,6:24:00,NBRK,18,Richmond,0,0,,1
1682444,6:27:00,6:28:00,PLZA,19,Richmond,0,0,,1
1682444,6:30:00,6:31:00,DELN,20,Richmond,0,0,,1
1682444,6:35:00,6:38:00,RICH,21,Richmond,0,0,,1
1682445,5:36:00,5:36:00,BERY,0,,0,0,,1
1682445,5:40:00,5:41:00,MLPT,1,,0,0,,1
1682445,5:48:00,5:48:00,WARM,2,,0,0,,1
1682445,5:54:00,5:55:00,FRMT,3,,0,0,,1
1682445,5:59:00,5:59:00,UCTY,4,,0,0,,1
1682445,6:04:00,6:04:00,SHAY,6,,0,0,,1
1682445,6:08:00,6:08:00,HAYW,7,,0,0,,1
1682445,6:12:00,6:12:00,BAYF,8,,0,0,,1
1682445,6:15:00,6:16:00,SANL,9,,0,0,,1
1682445,6:20:00,6:20:00,COLS,10,Richmond,0,0,,1
1682445,6:23:00,6:23:00,FTVL,11,Richmond,0,0,,1
1682445,6:28:00,6:28:00,LAKE,12,Richmond,0,0,,1
1682445,6:30:00,6:31:00,12TH,13,Richmond,0,0,,1
1682445,6:32:00,6:33:00,19TH,14,Richmond,0,0,,1
1682445,6:36:00,6:37:00,MCAR,15,Richmond,0,0,,1
1682445,6:39:00,6:40:00,ASHB,16,Richmond,0,0,,1
1682445,6:42:00,6:42:00,DBRK,17,Richmond,0,0,,1
1682445,6:44:00,6:44:00,NBRK,18,Richmond,0,0,,1
1682445,6:47:00,6:48:00,PLZA,19,Richmond,0,0,,1
1682445,6:50:00,6:51:00,DELN,20,Richmond,0,0,,1
1682445,6:55:00,6:58:00,RICH,21,Richmond,0,0,,1
1682446,5:56:00,5:56:00,BERY,0,,0,0,,1
1682446,6:00:00,6:01:00,MLPT,1,,0,0,,1
1682446,6:08:00,6:08:00,WARM,2,,0,0,,1
1682446,6:14:00,6:15:00,FRMT,3,,0,0,,1
1682446,6:19:00,6:19:00,UCTY,4,,0,0,,1
1682446,6:24:00,6:24:00,SHAY,6,,0,0,,1
1682446,6:28:00,6:28:00,HAYW,7,,0,0,,1
1682446,6:32:00,6:32:00,BAYF,8,,0,0,,1
1682446,6:35:00,6:36:00,SANL,9,,0,0,,1
1682446,6:40:00,6:40:00,COLS,10,Richmond,0,0,,1
1682446,6:43:00,6:43:00,FTVL,11,Richmond,0,0,,1
1682446,6:48:00,6:48:00,LAKE,12,Richmond,0,0,,1
1682446,6:50:00,6:51:00,12TH,13,Richmond,0,0,,1
1682446,6:52:00,6:53:00,19TH,14,Richmond,0,0,,1
1682446,6:56:00,6:57:00,MCAR,15,Richmond,0,0,,1
1682446,6:59:00,7:00:00,ASHB,16,Richmond,0,0,,1
1682446,7:02:00,7:02:00,DBRK,17,Richmond,0,0,,1
1682446,7:04:00,7:04:00,NBRK,18,Richmond,0,0,,1
1682446,7:07:00,7:08:00,PLZA,19,Richmond,0,0,,1
1682446,7:10:00,7:11:00,DELN,20,Richmond,0,0,,1
1682446,7:15:00,7:18:00,RICH,21,Richmond,0,0,,1
1674537,5:56:00,5:56:00,BERY,0,,0,0,,1
1674537,6:00:00,6:01:00,MLPT,1,,0,0,,1
1674537,6:08:00,6:08:00,WARM,2,,0,0,,1
1674537,6:14:00,6:15:00,FRMT,3,,0,0,,1
1674537,6:19:00,6:19:00,UCTY,4,,0,0,,1
1674537,6:24:00,6:24:00,SHAY,6,,0,0,,1
1674537,6:28:00,6:28:00,HAYW,7,,0,0,,1
1674537,6:32:00,6:32:00,BAYF,8,,0,0,,1
1674537,6:35:00,6:36:00,SANL,9,,0,0,,1
1674537,6:40:00,6:40:00,COLS,10,Richmond,0,0,,1
1674537,6:43:00,6:43:00,FTVL,11,Richmond,0,0,,1
1674537,6:48:00,6:48:00,LAKE,12,Richmond,0,0,,1
1674537,6:50:00,6:51:00,12TH,13,Richmond,0,0,,1
1674537,6:52:00,6:53:00,19TH,14,Richmond,0,0,,1
1674537,6:56:00,6:57:00,MCAR,15,Richmond,0,0,,1
1674537,6:59:00,7:00:00,ASHB,16,Richmond,0,0,,1
1674537,7:02:00,7:02:00,DBRK,17,Richmond,0,0,,1
1674537,7:04:00,7:04:00,NBRK,18,Richmond,0,0,,1
1674537,7:07:00,7:08:00,PLZA,19,Richmond,0,0,,1
1674537,7:10:00,7:11:00,DELN,20,Richmond,0,0,,1
1674537,7:15:00,7:18:00,RICH,21,Richmond,0,0,,1
1682447,6:16:00,6:16:00,BERY,0,,0,0,,1
1682447,6:20:00,6:21:00,MLPT,1,,0,0,,1
1682447,6:28:00,6:28:00,WARM,2,,0,0,,1
1682447,6:34:00,6:35:00,FRMT,3,,0,0,,1
1682447,6:39:00,6:39:00,UCTY,4,,0,0,,1
1682447,6:44:00,6:44:00,SHAY,6,,0,0,,1
1682447,6:48:00,6:48:00,HAYW,7,,0,0,,1
1682447,6:52:00,6:52:00,BAYF,8,,0,0,,1
1682447,6:55:00,6:56:00,SANL,9,,0,0,,1
1682447,7:00:00,7:00:00,COLS,10,Richmond,0,0,,1
1682447,7:03:00,7:03:00,FTVL,11,Richmond,0,0,,1
1682447,7:08:00,7:08:00,LAKE,12,Richmond,0,0,,1
1682447,7:10:00,7:11:00,12TH,13,Richmond,0,0,,1
1682447,7:12:00,7:13:00,19TH,14,Richmond,0,0,,1
1682447,7:16:00,7:17:00,MCAR,15,Richmond,0,0,,1
1682447,7:19:00,7:20:00,ASHB,16,Richmond,0,0,,1
1682447,7:22:00,7:22:00,DBRK,17,Richmond,0,0,,1
1682447,7:24:00,7:24:00,NBRK,18,Richmond,0,0,,1
1682447,7:27:00,7:28:00,PLZA,19,Richmond,0,0,,1
1682447,7:30:00,7:31:00,DELN,20,Richmond,0,0,,1
1682447,7:35:00,7:38:00,RICH,21,Richmond,0,0,,1
1674538,6:16:00,6:16:00,BERY,0,,0,0,,1
1674538,6:20:00,6:21:00,MLPT,1,,0,0,,1
1674538,6:28:00,6:28:00,WARM,2,,0,0,,1
1674538,6:34:00,6:35:00,FRMT,3,,0,0,,1
1674538,6:39:00,6:39:00,UCTY,4,,0,0,,1
1674538,6:44:00,6:44:00,SHAY,6,,0,0,,1
1674538,6:48:00,6:48:00,HAYW,7,,0,0,,1
1674538,6:52:00,6:52:00,BAYF,8,,0,0,,1
1674538,6:55:00,6:56:00,SANL,9,,0,0,,1
1674538,7:00:00,7:00:00,COLS,10,Richmond,0,0,,1
1674538,7:03:00,7:03:00,FTVL,11,Richmond,0,0,,1
1674538,7:08:00,7:08:00,LAKE,12,Richmond,0,0,,1
1674538,7:10:00,7:11:00,12TH,13,Richmond,0,0,,1
1674538,7:12:00,7:13:00,19TH,14,Richmond,0,0,,1
1674538,7:16:00,7:17:00,MCAR,15,Richmond,0,0,,1
1674538,7:19:00,7:20:00,ASHB,16,Richmond,0,0,,1
1674538,7:22:00,7:22:00,DBRK,17,Richmond,0,0,,1
1674538,7:24:00,7:24:00,NBRK,18,Richmond,0,0,,1
1674538,7:27:00,7:28:00,PLZA,19,Richmond,0,0,,1
1674538,7:30:00,7:31:00,DELN,20,Richmond,0,0,,1
1674538,7:35:00,7:38:00,RICH,21,Richmond,0,0,,1
1682448,6:36:00,6:36:00,BERY,0,,0,0,,1
1682448,6:40:00,6:41:00,MLPT,1,,0,0,,1
1682448,6:48:00,6:48:00,WARM,2,,0,0,,1
1682448,6:54:00,6:55:00,FRMT,3,,0,0,,1
1682448,6:59:00,6:59:00,UCTY,4,,0,0,,1
1682448,7:04:00,7:04:00,SHAY,6,,0,0,,1
1682448,7:08:00,7:08:00,HAYW,7,,0,0,,1
1682448,7:12:00,7:12:00,BAYF,8,,0,0,,1
1682448,7:15:00,7:16:00,SANL,9,,0,0,,1
1682448,7:20:00,7:20:00,COLS,10,Richmond,0,0,,1
1682448,7:23:00,7:23:00,FTVL,11,Richmond,0,0,,1
1682448,7:28:00,7:28:00,LAKE,12,Richmond,0,0,,1
