stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
place_12TH,place_12TH,12th Street / Oakland City Center,37.803482,-122.27163,76968,,,1,,,,
12TH,12TH,12th Street / Oakland City Center,37.803471,-122.271589,76988,,,0,place_12TH,,,
place_16TH,place_16TH,16th Street / Mission,37.765173,-122.419704,76968,,,1,,,,
16TH,16TH,16th Street / Mission,37.765176,-122.419755,76999,,,0,place_16TH,,,
19TH,19TH,19th Street Oakland,37.80806,-122.268722,76989,,,0,place_19TH,,,
place_19TH,place_19TH,19th Street Oakland,37.808078,-122.268758,76968,,,1,,,,
24TH,24TH,24th Street / Mission,37.752422,-122.418518,77000,,,0,place_24TH,,,
place_24TH,place_24TH,24th Street / Mission,37.752419,-122.418468,76968,,,1,,,,
ANTC,ANTC,Antioch,37.995415,-121.780353,76986,,,0,place_ANTC,,,
place_ANTC,place_ANTC,Antioch,37.995373,-121.780346,76968,,,1,,,,
place_ASHB,place_ASHB,Ashby,37.853072,-122.269771,76968,,,1,,,,
ASHB,ASHB,Ashby,37.853069,-122.26975,77004,,,0,place_ASHB,,,
place_BALB,place_BALB,Balboa Park,37.721747,-122.447457,76968,,,1,,,,
BALB,BALB,Balboa Park,37.721758,-122.44751,77002,,,0,place_BALB,,,
place_BAYF,place_BAYF,Bay Fair,37.696908,-122.126446,76968,,,1,,,,
BAYF,BAYF,Bay Fair,37.696938,-122.126431,76972,,,0,place_BAYF,,,
place_BERY,place_BERY,Berryessa / North San Jose,37.368473,-121.874681,76968,,,1,,,,
BERY,BERY,Berryessa / North San Jose,37.368495,-121.874661,77012,,,0,place_BERY,,,
CAST,CAST,Castro Valley,37.690776,-122.075615,76991,,,0,place_CAST,,,
place_CAST,place_CAST,Castro Valley,37.690737,-122.075601,76968,,,1,,,,
CIVC,CIVC,Civic Center / UN Plaza,37.77945,-122.413879,76998,,,0,place_CIVC,,,
place_CIVC,place_CIVC,Civic Center / UN Plaza,37.779408,-122.413826,76968,,,1,,,,
COLS,COLS,Coliseum,37.753604,-122.196698,76970,,,0,place_COLS,,,
place_COLS,place_COLS,Coliseum,37.753576,-122.196716,76968,,,1,,,,
COLM,COLM,Colma,37.684642,-122.466167,77013,,,0,place_COLM,,,
place_COLM,place_COLM,Colma,37.684635,-122.466157,76968,,,1,,,,
place_CONC,place_CONC,Concord,37.973757,-122.029072,76968,,,1,,,,
CONC,CONC,Concord,37.973773,-122.029126,76982,,,0,place_CONC,,,
place_DALY,place_DALY,Daly City,37.706259,-122.468908,76968,,,1,,,,
DALY,DALY,Daly City,37.706304,-122.468994,77003,,,0,place_DALY,,,
place_DBRK,place_DBRK,Downtown Berkeley,37.87011,-122.268109,76968,,,1,,,,
DBRK,DBRK,Downtown Berkeley,37.870117,-122.268078,77005,,,0,place_DBRK,,,
place_DUBL,place_DUBL,Dublin / Pleasanton,37.701646,-121.899229,76968,,,1,,,,
DUBL,DUBL,Dublin / Pleasanton,37.701692,-121.899242,76993,,,0,place_DUBL,,,
DELN,DELN,El Cerrito Del Norte,37.925205,-122.316868,77008,,,0,place_DELN,,,
place_DELN,place_DELN,El Cerrito Del Norte,37.925184,-122.316892,76968,,,1,,,,
place_PLZA,place_PLZA,El Cerrito Plaza,37.90261,-122.29892,76968,,,1,,,,
PLZA,PLZA,El Cerrito Plaza,37.902633,-122.298895,77007,,,0,place_PLZA,,,
